week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details
2024-01-07,TV (Non-English),1,Berlin,Berlin: Season 1,146400000,6.5667,22300000.0,2,False,
2024-01-07,TV (Non-English),10,Money Heist,Money Heist: Part 1,15200000,0.0,1500000.0,9,True,"[{""episodesLaunched"":13,""countryList"":[""FJ"",""LS"",""MR"",""PA"",""PL"",""UY"",""RW"",""VA"",""AZ"",""NO"",""GR"",""CC"",""AD"",""AS"",""KM"",""IE"",""PN"",""HM"",""GW"",""CY"",""BW"",""KY"",""PF"",""FR"",""NR"",""VU"",""VI"",""PH"",""UM"",""PR"",""RE"",""SE"",""IL"",""GU"",""PG"",""RU"",""MD"",""GP"",""GQ"",""SZ"",""DM"",""KN"",""LI"",""ID"",""DK"",""CW"",""ML"",""DJ"",""PS"",""MH"",""TW"",""FK"",""SX"",""HN"",""PM"",""BH"",""TR"",""GS"",""MX"",""SL"",""LC"",""BB"",""MQ"",""MS"",""GL"",""IS"",""SD"",""AG"",""HK"",""JO"",""LB"",""CX"",""PK"",""AM"",""VG"",""FM"",""GB"",""SV"",""PY"",""SM"",""AL"",""NF"",""TD"",""TN"",""NA"",""MA"",""KI"",""NG"",""EH"",""GE"",""PW"",""GY"",""ST"",""AT"",""CL"",""DO"",""NZ"",""NI"",""US"",""NU"",""CF"",""SS"",""BJ"",""TH"",""LR"",""EC"",""RO"",""CD"",""SI"",""LT"",""MU"",""GG"",""PT"",""QA"",""BE"",""NC"",""TC"",""SC"",""IQ"",""BY"",""MK"",""AQ"",""AR"",""IO"",""BM"",""CG"",""BF"",""CI"",""CU"",""IM"",""SR"",""JM"",""GT"",""UZ"",""ZW"",""GF"",""CZ"",""MZ"",""MW"",""LA"",""CR"",""BD"",""CK"",""HT"",""BI"",""CO"",""SK"",""MV"",""YT"",""LU"",""NE"",""UG"",""PE"",""VE"",""CM"",""LV"",""KR"",""BS"",""MN"",""MF"",""AO"",""TL"",""RS"",""IN"",""BO"",""TJ"",""BL"",""SO"",""KW"",""TT"",""LY"",""GI"",""ER"",""ZA"",""SN"",""CH"",""NL"",""IT"",""BA"",""BQ"",""DZ"",""GA"",""ET"",""LK"",""KZ"",""VN"",""FO"",""WS"",""FI"",""TO"",""UA"",""MP"",""EG"",""GH"",""NP"",""KE"",""CV"",""SA"",""SB"",""MM"",""MC"",""OM"",""AF"",""BG"",""MT"",""KG"",""GM"",""AU"",""HU"",""TK"",""AI"",""MY"",""AE"",""GN"",""HR"",""CA"",""VC"",""EE"",""AW"",""MO"",""JE"",""KH"",""TM"",""GD"",""BT"",""BZ"",""IR"",""MG"",""TZ"",""JP"",""YE"",""DE"",""SH"",""SG"",""TV"",""ME"",""ZM"",""WF"",""BR"",""BN"",""TG""]},{""episodesLaunched"":9,""countryList"":[""ES""]}]"
2023-12-31,Films (Non-English),10,Malbatt: Misi Bakara,,3000000,2.1833,1400000.0,1,False,
2023-12-31,TV (Non-English),1,Berlin,Berlin: Season 1,74300000,6.5667,11300000.0,1,False,
2023-11-26,TV (Non-English),9,Holy Family,Holy Family: Season 2,7300000,5.3833,1400000.0,1,False,
2023-11-05,TV (Non-English),3,Elite,Elite: Season 7,18000000,7.0333,2600000.0,3,False,
2023-10-29,TV (Non-English),1,Elite,Elite: Season 7,37100000,7.0333,5300000.0,2,False,
2023-10-22,TV (Non-English),6,Elite,Elite: Season 7,21100000,7.0333,3000000.0,1,False,
2023-10-08,TV (Non-English),8,Burning Body,Burning Body: Limited Series,8700000,6.5667,1300000.0,5,False,
2023-10-01,TV (Non-English),4,Burning Body,Burning Body: Limited Series,14300000,6.5667,2200000.0,4,False,
2023-09-24,TV (Non-English),2,Burning Body,Burning Body: Limited Series,24500000,6.5667,3700000.0,3,False,
2023-09-17,TV (Non-English),2,Burning Body,Burning Body: Limited Series,43900000,6.5667,6700000.0,2,False,
2023-09-10,TV (Non-English),2,Burning Body,Burning Body: Limited Series,26600000,6.5667,4100000.0,1,False,
2023-08-27,TV (Non-English),10,A Perfect Story,A Perfect Story: Limited Series,6000000,3.6667,1600000.0,5,False,
